Feature,MDI_Importance,Permutation_Importance_Mean,Permutation_Std
num__tenure,0.13188053447311016,0.023137900746596485,0.001701861124631173
cat__Contract_Month-to-month,0.137320915991466,0.01979436306802048,0.0036945440719350813
num__TotalCharges,0.11584778054071494,0.014422356557906524,0.001618979779205057
cat__Contract_Two year,0.0457218833104409,0.005665736650391417,0.0015962638369574175
cat__InternetService_Fiber optic,0.05158152972400032,0.003905164173706488,0.0030086725164159877
num__MonthlyCharges,0.06628202649928659,0.0019064041954068745,0.0022483765803749394
cat__PaymentMethod_Electronic check,0.05501494842829154,0.0017280219070501923,0.0011804431294724592
cat__TechSupport_No,0.04925100341034246,0.0014979720478442537,0.0011349145430140076
cat__OnlineSecurity_No,0.054847245725623314,0.0008934614689091513,0.001111484927853299
cat__PaperlessBilling_Yes,0.01047491743422784,0.0007356170399650086,0.0009582355309777973
cat__Contract_One year,0.017854770563416934,0.0007245085122323913,0.0009168976840346555
cat__SeniorCitizen_1,0.005358185031115966,0.0006888578883464614,0.0004121318976491198
cat__SeniorCitizen_0,0.004895453789740351,0.0005831977059599259,0.00041791498010267255
cat__MultipleLines_No,0.006124106755004652,0.0005578805962438982,0.00039033407178307834
cat__StreamingTV_Yes,0.0054112443640718984,0.0005445761967501683,0.0005449900785819605
cat__TechSupport_No internet service,0.008391028323351936,0.0005140923299492117,0.0007495219968080208
cat__Partner_Yes,0.0055913296101129184,0.0004935544705366946,0.00022278359919733048
cat__PaperlessBilling_No,0.010377131013628879,0.0004169572967528068,0.0008194429906698467
cat__Dependents_No,0.005548020025131864,0.0003784649564701592,0.0002395455079271251
cat__TechSupport_Yes,0.016542662927118958,0.00037058565191565583,0.0005152060817771428
cat__StreamingMovies_No,0.005654726091599359,0.0003112971143662824,0.00043374879568607114
cat__OnlineBackup_Yes,0.009591499458360221,0.0003030303030304049,0.0002961723791332015
cat__MultipleLines_No phone service,0.00212202464093755,0.00018419489007733824,0.00014496091829540241
cat__StreamingMovies_Yes,0.005502595796714394,0.00018161151153490708,0.0005992737213371857
cat__OnlineSecurity_Yes,0.017026257774246392,0.0001796739776280254,0.0005191448306526244
cat__PhoneService_Yes,0.0021160131788033896,0.00017463638947025074,0.00012432708858680898
cat__OnlineSecurity_No internet service,0.005828195059377687,0.00010617685809510835,0.0005441213419730373
cat__Partner_No,0.005024309280346263,0.00010346431062553396,0.00021663246518106166
cat__MultipleLines_Yes,0.006358549355542517,6.148440931061928e-05,0.000400559153533166
cat__PaymentMethod_Credit card (automatic),0.004940054578775404,4.185073238792692e-05,0.0002717514081129463
cat__StreamingTV_No internet service,0.00897047834802841,3.7458988865723965e-05,0.0005951299044091914
cat__InternetService_DSL,0.026482390290093725,2.2346224392355563e-05,0.0016967997287117699
cat__PhoneService_No,0.0019219312470630135,-2.9321346456834263e-05,0.00018040700871716362
cat__StreamingTV_No,0.00576395751327144,-4.650081376411652e-05,0.0003852132735879093
cat__StreamingMovies_No internet service,0.009004564048421192,-5.631765222552376e-05,0.0007369813930806374
cat__PaymentMethod_Mailed check,0.0036233110737967293,-7.465963987695057e-05,0.0002676982308735686
cat__gender_Male,0.005271126730535812,-8.4734816192511e-05,0.000314262026963964
cat__gender_Female,0.005315479388338346,-0.0001958200935182064,0.0003530861388686023
cat__InternetService_No,0.007767169203432457,-0.0002110620269187069,0.0006574622766661438
cat__OnlineBackup_No internet service,0.008121393051056006,-0.00022707897388194454,0.0005440649183869738
cat__DeviceProtection_No internet service,0.0037849407663367463,-0.00026970471983249754,0.0003853816364192502
cat__Dependents_Yes,0.004419628286530685,-0.00028430080859738195,0.0003301303320840878
cat__DeviceProtection_No,0.013463993827594703,-0.00029463432276719546,0.00030929496228077736
cat__OnlineBackup_No,0.018767544282415283,-0.0005059546875402666,0.0010636977702135658
cat__DeviceProtection_Yes,0.003829582583034044,-0.0005093130796454904,0.0001209410947834279
cat__PaymentMethod_Bank transfer (automatic),0.005011566205150009,-0.0005360510475599156,0.000386745228061078
